((40, 0.1), 'map score: ', 0.0013187377027116195, 'ndcg score: ', 0.026142187982676368, 'mpa score: ', 0.004654217439468268)
((40, 0.01), 'map score: ', 0.0007828442790608378, 'ndcg score: ', 0.013443071075572135, 'mpa score: ', 0.0025428074062351647)
((40, 1), 'map score: ', 0.00016884471005938257, 'ndcg score: ', 0.005398560212391347, 'mpa score: ', 0.001080550720050641)
((40, 0.001), 'map score: ', 0.0006110250797603783, 'ndcg score: ', 0.007381756005759292, 'mpa score: ', 0.0012422851717043832)
((40, 10), 'map score: ', 0.00023711753446210553, 'ndcg score: ', 0.0015818488547370444, 'mpa score: ', 0.0005045102073112833)
((20, 0.1), 'map score: ', 0.0006380167074820645, 'ndcg score: ', 0.01656335603404756, 'mpa score: ', 0.0032065200189903484)
((20, 0.01), 'map score: ', 0.00024743533862898066, 'ndcg score: ', 0.00476128013321782, 'mpa score: ', 0.000982117423642982)
((20, 1), 'map score: ', 0.00015524699883672855, 'ndcg score: ', 0.005189034932040783, 'mpa score: ', 0.0010552302579522085)
((20, 0.001), 'map score: ', 0.00011245080655185133, 'ndcg score: ', 0.002439474817129075, 'mpa score: ', 0.0005241335654375692)
((20, 10), 'map score: ', 0.00026941985145559187, 'ndcg score: ', 0.0016304709356037422, 'mpa score: ', 0.0005105238170596615)
((25, 0.1), 'map score: ', 0.0008318741868275524, 'ndcg score: ', 0.020144955754154124, 'mpa score: ', 0.0037806614970723206)
((25, 0.01), 'map score: ', 0.00044084251045440134, 'ndcg score: ', 0.006772980082115149, 'mpa score: ', 0.001304320303845546)
((25, 1), 'map score: ', 0.00016917806043836216, 'ndcg score: ', 0.005494981448562147, 'mpa score: ', 0.0011042886532679228)
((25, 0.001), 'map score: ', 0.0002319701027728574, 'ndcg score: ', 0.004143449213088856, 'mpa score: ', 0.000768792530463681)
((25, 10), 'map score: ', 0.00011495869000708121, 'ndcg score: ', 0.0014408546242236815, 'mpa score: ', 0.0005038771957588226)
((10, 0.1), 'map score: ', 0.00029286609240115403, 'ndcg score: ', 0.010505542469463594, 'mpa score: ', 0.002183573350213641)
((10, 0.01), 'map score: ', 6.540367228802294e-05, 'ndcg score: ', 0.0023049840368577212, 'mpa score: ', 0.0005238170596613386)
((10, 1), 'map score: ', 0.00015527598148635044, 'ndcg score: ', 0.005176671723024678, 'mpa score: ', 0.0010511156828612127)
((10, 0.001), 'map score: ', 4.0432332795435254e-05, 'ndcg score: ', 0.0013887629963387482, 'mpa score: ‘,0.0003139737300205729)
((15, 0.1), 'map score: ', 0.0005535010726039111, 'ndcg score: ', 0.014431361131074547, 'mpa score: ', 0.0028567811362557355)
((15, 1), 'map score: ', 0.00017295722905560045, 'ndcg score: ', 0.005538388050821163, 'mpa score: ', 0.0011052381705966131)
((15, 10), 'map score: ', 0.00017274948519997295, 'ndcg score: ', 0.0015217477960851997, 'mpa score: ', 0.0005026111726539011)
((30, 0.1), 'map score: ', 0.0009879718715693803, 'ndcg score: ', 0.022077335519893156, 'mpa score: ', 0.004056654533945242)
((30, 1), 'map score: ', 0.00016823213151402703, 'ndcg score: ', 0.005474203819528175, 'mpa score: ', 0.001100174078176927)
((30, 10), 'map score: ', 0.00021870113467141943, 'ndcg score: ', 0.0015484350826712602, 'mpa score: ', 0.0005003956322202885)
((35, 0.1), 'map score: ', 0.0011478289500869235, 'ndcg score: ', 0.024127695199777723, 'mpa score: ', 0.004430764361449598)
((35, 1), 'map score: ', 0.00016677458505089135, 'ndcg score: ', 0.0054604511523115035, 'mpa score: ', 0.001099857572400697)
((5, 0.1), 'map score: ', 0.0001772979215915966, 'ndcg score: ', 0.006998530023969811, 'mpa score: ', 0.0015363190378224398)
((5, 0.01), 'map score: ', 7.08265116814598e-05, 'ndcg score: ', 0.0019702866555188917, 'mpa score: ', 0.00045671783510049064)
((5, 1), 'map score: ', 0.00014607014960673454, 'ndcg score: ', 0.005091968275245747, 'mpa score: ', 0.0010470011077702167)
((5, 0.001), 'map score: ', 6.451539826494064e-05, 'ndcg score: ', 0.0013505880437870944, 'mpa score: ', 0.0003044785567336604)
((5, 10), 'map score: ', 0.00029673855728047557, 'ndcg score: ', 0.001688195076063372, 'mpa score: ', 0.000498180091786675)
